Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
14/08/2022,7.2,10.7,17.1,11.3,85.6,85.9,0,5.9,26.8,0.6,131.4,1.3,12.3
15/08/2022,7.4,10.1,14.3,10.6,87.7,88.7,0,3.5,19.3,1.8,80.9,1.5,12.3
16/08/2022,5.9,10.2,16.3,10.8,81.7,81.9,0,5.1,25.1,0.2,146.3,1.1,12.2
17/08/2022,7.2,10.2,16.7,10.7,82.4,83.6,0,3.7,24.3,0,55,1.5,11.8
18/08/2022,8.8,13.3,17.4,13.4,69.7,72,0,5.9,26.8,6,46.6,1.9,12.8
19/08/2022,6.8,11.5,16.8,12,73.2,73.8,0,8.3,29.3,0.2,184.6,1.2,12.4
20/08/2022,7,12.5,17.6,13.1,76.9,76.5,0,5.7,24.3,0,177.7,2.3,13.6
21/08/2022,1.8,9.5,18.5,10.5,80.5,79.5,0,2.4,20.9,0,196.2,1.8,13.5
22/08/2022,5.7,11.9,20.4,12.2,75.9,78.6,0,9.5,43.6,5,146.1,2.1,13.6
23/08/2022,4.6,8.5,13.5,9.3,79.8,80.9,0,8.3,31,0.6,185.8,2.1,12.4
24/08/2022,4.9,10,15.2,10.5,76.6,77.7,0,6.3,23.4,0,128.5,1.8,11.9
25/08/2022,9,11.8,16.5,12.4,82.5,82.4,0,4.2,16.7,0,121.1,1.8,12.8
26/08/2022,4.4,10.8,16.8,11.6,81.1,81.7,0,1.3,11.7,0,168.3,1.5,13.1
27/08/2022,9,12.8,19,13.1,68.5,71.4,0,3.2,15,0,127,1.5,13.8
28/08/2022,7.2,14.2,22.5,14.4,55.9,58.4,0,5.2,27.6,0,200.2,2,14.2
29/08/2022,8.8,14.3,21.7,14.5,60.1,60.9,0,11.8,44.4,0.2,169.5,3.3,14.9
30/08/2022,8.8,11.6,15.9,12.1,67.6,68.2,0,9.5,28.5,0,157.4,3,13.9
31/08/2022,4.2,9.9,17.2,11,68.9,69.6,0,1.7,15.9,0,212.5,2.1,14.1
